Previous_Attendance,Timetable,Semester,Holidays,Internal_Exams,Attendance
51,40,3,9,2,56
79,25,1,2,4,78
59,25,8,10,4,55
76,37,4,7,5,79
91,40,2,8,2,91
94,29,3,4,1,80
89,26,7,7,5,78
81,36,5,12,1,72
84,27,6,12,1,75
53,33,4,6,3,49
93,34,3,10,4,89
75,37,6,11,3,68
80,29,6,2,5,75
69,39,4,3,5,75
68,36,3,7,1,63
53,29,2,8,4,53
57,27,3,10,4,55
83,36,6,5,4,83
96,31,1,10,4,88
76,28,2,2,1,77
79,24,8,11,5,67
73,36,3,8,1,71
69,34,5,6,3,65
89,38,4,8,3,84
84,28,6,4,3,72
98,27,6,7,2,83
69,39,5,9,1,68
50,26,5,6,4,46
62,32,6,2,1,62
51,32,4,10,4,52
90,30,5,12,5,77
64,32,4,7,3,65
84,40,8,12,1,76
96,24,5,9,1,80
72,32,2,6,3,69
96,39,3,8,2,93
66,36,5,2,5,72
61,28,6,12,1,51
91,31,6,6,3,79
98,40,4,7,1,90
58,27,4,10,2,48
64,28,3,8,2,61
83,29,1,10,1,74
76,29,4,10,5,71
86,36,8,11,2,77
83,39,1,7,2,78
95,34,7,5,4,92
74,39,5,5,3,75
73,27,8,2,1,68
87,25,2,2,1,80
74,40,3,4,4,77
77,34,2,10,1,66
62,25,4,7,5,60
71,39,7,6,1,72
61,34,5,5,3,69
71,28,1,12,2,58
76,26,7,2,4,70
76,40,7,8,4,76
90,30,5,11,3,69
53,38,8,2,1,56
97,31,4,12,2,86
58,25,5,4,5,62
61,33,2,6,2,62
89,27,4,4,2,84
59,37,1,4,1,66
83,31,2,9,3,78
64,36,7,2,2,69
50,37,5,3,2,53
87,39,7,4,1,85
74,39,7,12,3,73
79,37,8,4,2,78
94,29,1,4,2,84
51,24,1,5,5,51
83,36,6,7,2,78
73,27,5,2,5,74
98,38,2,2,2,94
67,25,6,4,5,65
58,29,5,11,3,59
84,33,2,11,4,76
91,25,5,7,4,80
63,32,2,3,1,65
97,32,3,5,2,89
83,28,1,4,1,80
94,35,1,6,5,100
62,32,6,8,5,65
75,29,1,9,3,67
97,38,2,4,5,90
79,34,8,4,2,76
67,33,7,2,3,66
78,39,5,4,1,77
97,35,1,2,2,93
50,31,5,10,5,54
79,31,6,9,3,74
88,29,3,6,5,81
98,25,5,12,2,69
83,36,8,8,3,83
68,36,2,3,4,68
94,35,2,3,4,89
68,30,1,5,5,69
78,30,3,9,2,69
84,38,3,7,5,76
83,35,3,12,4,78
80,28,1,10,2,66
60,30,3,3,3,59
67,24,8,6,5,69
69,28,2,11,1,61
80,24,6,7,5,77
56,35,4,4,5,58
70,27,4,10,3,63
92,33,2,7,3,89
77,37,6,8,1,72
87,33,4,7,1,82
62,32,7,4,3,62
68,31,7,4,1,72
51,27,8,2,4,53
58,30,5,3,1,56
70,31,4,3,5,63
81,37,6,9,1,72
62,34,6,4,5,71
84,24,4,6,5,74
89,32,3,9,4,79
51,40,8,3,1,56
89,31,8,7,3,82
76,40,1,8,3,79
56,25,3,8,5,49
75,40,1,12,3,63
95,26,4,5,5,89
94,38,3,10,2,81
64,32,5,3,4,69
60,36,4,9,3,67
75,24,3,6,2,64
70,28,8,3,5,61
82,27,1,3,3,73
52,30,6,4,4,59
59,37,5,4,3,62
68,25,5,11,2,59
97,33,6,10,3,80
78,26,1,2,4,80
57,27,5,4,5,55
80,26,3,12,2,63
69,36,3,9,4,70
76,38,6,8,3,80
87,37,8,3,1,84
55,34,3,9,1,51
66,24,8,12,4,62
80,24,6,10,5,67
54,34,7,6,4,58
86,29,4,7,2,79
71,32,7,4,5,73
96,35,6,12,3,86
78,37,2,2,1,74
86,35,4,12,3,73
66,29,7,5,4,63
88,32,1,7,3,81
89,26,6,10,2,75
87,34,3,9,4,79
95,35,3,5,5,93
88,32,3,3,3,87
58,25,8,4,2,57
81,26,6,9,3,71
61,36,4,5,4,67
83,31,6,12,2,73
77,30,1,4,2,68
56,31,6,7,2,55
55,24,5,6,2,56
57,27,3,5,5,64
74,39,8,3,5,82
75,33,5,3,4,65
67,28,1,10,3,59
70,25,5,5,1,68
78,30,5,6,3,72
74,36,3,4,4,73
58,29,1,10,3,55
85,34,1,7,2,78
91,29,1,8,4,88
90,34,1,5,1,90
81,36,5,3,2,75
88,26,1,8,5,80
74,30,4,11,1,64
50,34,5,2,2,51
52,36,7,12,2,52
91,34,4,11,2,82
63,28,8,8,4,59
72,29,7,11,4,67
52,31,7,2,4,60
88,40,1,9,5,84
55,33,3,5,4,52
59,34,5,3,4,68
94,34,4,3,4,90
86,31,1,11,4,79
60,32,6,4,3,65
56,24,1,7,5,51
81,32,6,10,3,65
98,27,5,7,2,85
70,25,3,4,4,72
63,36,8,3,3,66
71,37,6,10,2,70
89,40,5,9,3,82
75,25,3,6,5,75
68,32,8,9,1,61
85,40,4,9,4,83
54,38,8,10,5,58
53,25,2,7,4,48
59,38,8,4,2,60
53,31,8,6,5,57
85,25,5,10,5,76
84,30,5,7,1,74
50,34,1,9,5,58
73,38,5,10,5,73
75,29,2,7,4,71
98,31,1,5,2,87
58,24,7,12,3,54
92,33,5,5,3,83
50,37,3,5,4,52
73,32,1,5,2,74
55,39,6,7,3,56
85,30,3,9,4,77
97,40,6,6,1,90
68,24,1,10,1,56
83,28,6,9,4,73
66,25,2,12,2,61
66,30,7,8,4,61
90,28,6,10,1,74
90,36,2,12,1,77
60,35,4,12,1,54
61,27,3,7,5,63
56,37,8,9,1,53
62,29,7,7,2,55
51,30,4,7,5,61
51,36,4,4,4,58
53,31,2,8,4,55
67,36,7,3,3,64
98,31,4,6,5,92
90,31,6,5,3,82
66,25,2,11,3,59
77,28,3,5,3,72
93,32,7,4,3,86
79,32,3,10,4,75
75,28,4,9,3,70
93,32,1,10,5,85
69,26,8,4,1,63
97,36,2,10,3,80
65,36,2,9,5,65
65,39,7,11,2,59
73,37,2,7,2,69
70,39,8,10,5,68
59,36,4,2,1,57
84,36,7,10,1,79
93,40,3,10,4,86
66,30,3,11,2,61
92,31,2,2,1,89
75,40,3,11,3,74
51,26,2,2,4,54
62,35,1,5,4,56
56,35,3,2,4,63
62,30,6,3,3,64
88,34,8,9,2,74
53,28,1,2,4,57
86,27,2,5,5,89
68,25,8,6,2,64
60,24,5,12,2,51
59,26,8,7,5,54
89,39,7,3,5,86
74,31,7,11,5,63
87,37,1,9,5,87
91,26,6,8,1,74
82,37,5,5,1,78
90,33,8,12,5,82
93,37,1,9,2,86
60,39,3,2,3,64
90,33,2,6,2,86
91,24,7,10,4,77
53,28,8,3,5,60
89,31,7,9,1,83
70,26,1,4,3,67
74,25,5,7,4,65
72,33,8,8,2,65
62,24,3,5,1,60
60,25,3,11,3,54
90,30,7,11,2,73
86,39,7,8,4,84
91,29,7,6,3,81
69,26,3,2,1,66
68,27,8,8,5,65
58,36,2,2,5,68
98,36,3,11,1,77
79,24,5,6,3,63
57,37,6,10,2,53
73,30,8,10,1,67
85,40,2,2,2,88
71,40,4,7,3,69
92,31,3,7,4,86
63,30,4,7,5,61
92,28,3,7,1,82
58,26,4,6,4,63
71,27,3,10,5,64
67,27,2,12,1,58
68,28,3,6,4,65
95,24,4,7,3,83
78,32,3,2,1,77
87,32,7,7,4,86
57,33,3,6,3,64
76,40,7,7,1,75
69,36,4,12,4,62
73,27,2,6,2,65
59,25,5,6,3,54
59,36,6,12,4,59
79,24,7,2,4,74
64,32,3,9,1,63
50,36,6,6,5,58
57,30,4,6,3,54
84,39,6,9,1,78
61,29,4,7,3,58
73,24,7,9,4,63
69,25,1,12,3,57
64,32,3,2,4,71
73,37,1,7,1,68
86,39,7,3,1,83
98,26,8,12,2,84
66,37,2,10,2,62
76,36,5,9,2,70
90,32,1,5,5,83
73,38,3,7,4,68
88,30,6,3,3,80
69,31,1,8,5,69
95,34,1,12,5,93
73,35,3,10,5,78
74,39,4,12,4,73
89,39,7,8,3,77
82,33,8,11,5,76
77,29,2,5,4,72
90,40,7,6,4,93
83,34,6,2,1,78
87,32,1,7,4,82
89,36,4,10,5,84
60,24,6,2,1,57
85,37,7,2,5,86
91,40,2,10,5,90
84,30,8,7,1,75
68,37,5,7,1,61
70,32,5,2,3,68
71,39,2,5,2,71
75,26,8,8,4,65
61,32,7,6,2,62
97,27,4,3,5,85
63,40,5,11,3,62
91,35,5,12,5,81
86,32,3,7,5,82
52,24,4,2,1,54
76,32,5,3,3,70
71,38,1,8,5,71
87,38,2,10,3,79
72,24,2,10,1,64
79,40,3,6,5,88
57,33,6,11,5,52
56,33,2,6,5,61
89,34,5,7,1,80
74,27,2,12,3,67
92,34,4,3,4,93
82,36,2,3,3,75
89,30,6,8,4,86
50,37,3,7,3,49
80,31,2,2,2,75
96,37,7,4,5,90
60,26,6,3,5,59
59,36,3,3,3,61
58,24,1,11,5,55
54,26,7,5,4,56
58,32,7,7,3,59
97,28,6,7,3,85
52,25,1,4,1,47
76,24,5,6,1,62
63,24,3,11,2,52
76,26,5,11,4,68
77,37,4,11,2,72
96,38,6,8,3,82
62,40,4,6,1,56
62,38,8,4,1,60
65,37,7,5,3,62
76,38,4,7,1,76
73,26,6,5,3,69
56,36,1,2,1,59
66,32,4,5,5,69
79,30,1,7,4,79
96,27,5,11,3,83
88,39,6,9,5,89
92,38,5,12,1,81
88,24,3,2,5,82
80,35,4,11,2,73
98,31,1,7,1,86
63,24,1,12,2,42
74,28,2,7,5,73
89,27,8,9,5,76
82,40,8,2,2,85
83,40,5,9,5,84
87,24,8,12,4,73
72,40,6,3,2,70
67,27,4,4,4,56
72,34,1,6,2,71
97,25,1,7,1,80
65,30,8,7,1,61
64,34,2,5,3,64
70,39,4,2,4,69
82,39,8,4,4,85
60,37,2,3,1,61
79,28,6,5,2,69
71,31,8,11,4,61
98,38,2,6,2,95
56,39,4,7,4,61
73,32,5,9,4,75
96,40,3,11,4,95
95,30,4,9,4,83
89,33,5,11,2,81
52,38,7,12,5,49
73,32,6,11,5,58
54,34,2,10,1,52
92,39,5,2,5,90
79,36,1,6,4,83
55,31,1,11,4,60
74,34,3,6,5,72
94,39,8,12,4,84
51,26,3,10,1,41
73,33,1,10,1,71
61,28,1,9,4,56
94,26,2,6,5,88
97,29,7,9,4,88
97,37,7,9,4,83
70,36,5,2,2,70
94,35,1,12,1,82
93,39,8,9,4,77
93,29,7,11,1,74
96,37,4,8,5,88
96,25,3,12,1,78
52,34,6,7,4,45
54,38,4,7,5,55
58,27,3,12,2,52
76,40,7,4,5,78
57,34,2,9,4,56
52,38,2,10,4,61
58,38,4,6,2,59
66,34,3,9,2,66
97,25,4,2,3,91
72,25,5,12,2,57
75,40,1,3,5,82
75,37,3,6,4,76
78,40,1,3,5,77
97,35,1,11,5,90
80,34,7,2,4,76
66,31,5,8,4,67
88,33,4,10,4,77
71,27,7,3,2,63
95,34,8,10,3,83
86,39,4,5,2,79
77,36,3,12,1,63
56,38,5,9,1,60
87,40,6,7,4,82
97,25,4,3,2,87
59,29,7,11,2,53
59,30,5,7,5,60
73,25,3,6,1,64
75,24,6,2,5,72
61,35,2,9,4,57
95,27,7,8,4,82
60,39,6,6,5,64
97,40,8,2,2,98
51,29,6,5,3,54
69,39,1,10,3,66
71,28,8,6,2,65
76,40,7,4,4,73
98,24,7,5,2,85
60,38,7,3,5,70
96,29,6,9,3,84
64,37,1,12,4,62
89,39,5,10,3,86
58,34,2,8,2,65
66,32,1,10,2,62
77,27,1,8,5,74
89,28,3,2,4,83
59,24,2,11,3,54
87,27,5,12,5,77
80,36,4,3,3,80
80,25,8,6,5,73
73,39,2,4,4,72
80,39,3,2,1,83
54,33,5,6,5,58
87,40,4,6,2,86
80,26,4,4,2,80
78,39,5,9,2,70
75,40,6,12,1,64
85,35,2,5,4,85
86,35,8,9,2,77
94,28,4,12,3,82
86,32,1,5,4,82
78,29,2,3,4,76
71,38,5,11,3,72
58,24,3,9,4,48
76,24,6,4,2,69
72,36,6,10,2,63
86,26,3,10,2,69
83,24,5,12,3,65
69,38,2,7,1,68
60,37,8,7,2,67
75,36,6,11,5,79
69,29,6,9,2,60
57,27,2,2,3,61
55,29,3,9,5,55
95,35,4,9,5,85
86,24,3,2,2,78
66,38,2,12,4,68
77,36,4,12,3,70
94,37,3,6,4,88
58,25,3,2,3,59
61,29,1,6,4,64
93,38,8,5,3,89
96,28,3,11,3,85
50,40,1,9,3,57
95,28,1,10,5,86
55,25,6,5,5,55
62,31,6,4,3,60
92,39,1,2,5,89
88,24,6,8,1,70
92,25,1,4,2,79
74,29,5,3,1,71
52,33,6,10,2,48
70,32,1,2,3,73
93,36,2,7,1,83
77,36,2,10,1,67
63,32,5,5,1,60
51,39,3,4,3,60
57,29,1,10,1,48
82,35,2,12,3,78
53,24,3,11,1,41
65,39,6,4,2,64
57,33,8,10,5,63
69,35,2,4,4,73
61,24,3,4,5,59
85,39,1,6,3,83
97,26,6,9,2,80
60,34,3,5,2,65
78,35,5,7,5,76
82,40,7,6,3,79
69,30,6,6,1,63
60,34,6,11,4,57
83,37,3,10,5,82
93,29,8,9,2,80
92,24,7,11,5,77
79,27,1,9,5,74
70,38,6,12,4,61
56,37,3,10,2,59
66,37,3,6,4,67
55,34,2,12,5,57
69,26,7,3,5,66
84,32,1,11,2,70
50,35,1,2,5,56
98,26,1,10,4,87
81,31,5,6,2,68
94,28,6,5,5,84
93,34,1,11,5,88
89,40,2,7,5,96
60,31,3,11,2,57
98,38,1,3,3,87
70,31,8,3,4,74
85,33,2,7,3,75
79,30,7,12,4,72
70,36,4,9,1,68
70,34,2,6,1,69
55,35,2,12,5,64
91,24,6,11,1,79
77,24,2,4,5,76
75,27,5,3,1,66
53,33,3,9,1,50
98,33,4,11,3,90
93,33,6,6,4,84
84,28,7,12,5,82
74,28,5,5,2,66
63,36,7,8,5,66
73,35,5,4,1,68
69,31,2,7,5,67
67,33,6,11,3,66
53,26,6,11,4,52
76,29,3,12,1,64
68,26,2,12,4,61
55,27,6,12,4,56
81,25,1,9,3,74
96,37,3,2,5,97
75,35,4,7,3,70
63,38,7,7,3,65
88,29,5,5,1,79
96,25,7,8,1,76
53,34,8,9,4,52
97,34,5,10,3,83
87,40,6,3,5,88
57,37,6,2,4,68
54,24,8,4,5,57
77,38,8,3,2,72
59,35,5,10,5,65
88,33,3,3,2,83
91,31,6,4,4,81
86,31,8,3,3,87
62,28,2,5,5,60
95,36,5,7,3,91
92,35,3,9,3,86
54,24,7,3,5,51
77,39,8,12,2,73
85,30,1,12,1,75
79,28,6,5,2,69
74,39,4,12,5,69
51,40,5,10,2,51
55,38,1,9,1,52
89,37,7,5,3,85
56,26,6,4,4,53
53,26,3,3,3,55
50,29,7,2,4,51
75,39,1,10,4,71
50,32,7,6,2,55
80,34,1,12,3,71
90,33,6,5,3,87
88,33,2,9,5,87
98,30,4,9,1,85
52,35,3,5,1,53
88,39,4,11,3,81
83,31,2,6,2,76
61,28,6,8,4,55
90,39,8,8,1,80
74,27,1,8,3,74
72,38,2,7,4,72
95,35,2,5,1,92
81,27,2,9,5,71
70,38,5,12,3,69
80,27,4,8,4,79
60,31,2,3,4,64
52,24,5,11,1,49
87,32,2,3,3,80
59,37,7,7,4,59
73,24,7,5,3,68
62,26,8,2,3,62
69,28,6,7,2,64
97,27,1,3,4,87
63,37,1,11,3,66
60,34,4,10,4,54
55,39,6,2,3,64
95,29,5,7,4,79
97,38,5,6,1,86
70,34,4,2,4,73
62,37,7,5,3,68
64,40,8,6,5,66
69,36,5,9,3,66
55,37,4,11,2,55
70,31,3,7,1,68
61,40,8,2,2,63
69,29,8,7,2,66
64,28,3,7,1,67
56,38,8,7,2,57
87,35,6,6,2,84
51,34,5,7,1,49
74,39,5,11,1,68
59,30,3,8,2,54
71,27,7,4,3,63
81,28,8,12,3,71
80,37,1,8,5,80
67,30,4,4,3,67
55,30,6,8,1,53
63,38,2,2,3,62
78,36,7,5,3,80
84,37,6,9,3,76
82,26,7,11,2,64
50,27,1,9,4,50
70,34,1,6,2,64
78,39,2,3,4,82
73,40,4,4,1,68
60,33,8,10,3,58
59,32,8,11,5,58
98,34,1,6,4,86
55,40,3,11,3,56
96,32,3,6,5,96
98,38,4,10,4,90
98,25,3,8,1,84
71,39,2,9,1,67
82,35,4,7,2,66
71,27,8,8,3,68
72,29,1,6,5,77
64,36,7,5,5,63
63,37,3,7,1,61
91,34,4,11,1,78
54,34,2,9,2,56
53,38,8,7,5,52
59,34,5,4,4,67
97,31,5,7,4,90
78,25,1,12,2,70
66,28,3,5,2,65
78,34,4,12,1,64
87,37,7,4,4,89
73,33,2,7,2,74
98,24,8,8,4,90
73,37,5,12,1,62
86,31,1,10,3,85
56,29,6,5,5,62
72,29,6,5,4,71
50,34,1,4,1,56
89,37,3,9,1,74
68,38,3,4,2,68
75,30,4,7,3,69
51,26,7,9,2,44
75,27,1,5,2,65
72,31,3,4,4,62
62,33,3,3,1,62
62,26,8,12,4,58
78,37,8,2,4,77
94,37,3,4,4,88
52,36,4,5,2,58
53,24,2,3,5,61
80,34,6,9,1,75
70,28,6,6,5,71
69,40,7,9,3,68
51,29,7,4,3,57
68,34,8,2,5,73
63,24,7,10,4,57
59,33,4,3,2,58
90,33,3,4,4,82
78,38,8,11,5,71
62,36,3,3,1,66
54,37,8,9,3,55
86,40,8,8,2,84
74,28,8,12,3,65
85,39,1,2,2,86
59,32,1,10,5,56
62,39,4,8,5,64
56,28,8,2,3,52
53,39,7,4,5,56
87,29,2,12,4,74
70,38,8,10,2,66
76,28,6,7,3,66
67,32,7,11,5,65
65,25,3,12,5,63
88,35,1,4,4,84
90,29,8,4,1,80
71,29,7,4,5,66
85,29,8,10,1,73
57,33,7,8,4,52
92,25,3,6,1,80
79,25,8,2,1,70
71,37,1,7,2,69
82,26,2,4,4,73
63,27,1,6,3,58
72,28,7,9,1,59
98,40,3,6,5,94
80,24,2,8,5,75
98,26,6,6,4,78
84,37,8,11,5,78
71,26,3,4,5,70
70,25,2,11,3,62
90,30,2,7,4,83
97,33,2,10,3,91
53,29,4,2,4,57
56,32,2,9,3,51
61,36,1,10,2,61
95,33,6,4,3,85
94,36,5,12,1,79
89,38,2,12,1,78
95,37,1,2,5,100
65,32,1,4,4,65
89,28,1,4,4,88
86,24,5,6,2,73
57,34,7,11,2,55
76,27,6,8,4,66
89,37,3,8,3,85
90,33,2,11,3,78
97,25,4,11,4,82
52,40,8,6,4,57
72,32,3,2,2,74
97,37,2,4,3,92
68,35,4,12,2,68
82,32,5,7,4,77
57,39,4,11,4,59
66,27,2,10,4,60
85,29,6,4,3,83
71,36,8,4,3,73
78,25,5,6,2,67
79,34,7,5,5,75
56,24,3,12,5,48
94,29,1,8,4,86
92,25,1,8,1,81
86,38,8,7,4,80
67,39,6,10,4,64
85,27,3,8,5,79
59,24,5,11,5,51
93,30,1,2,4,87
59,29,7,9,4,58
93,40,5,6,1,86
80,24,1,5,5,78
59,38,1,6,1,62
50,40,4,6,1,53
65,27,6,11,4,55
90,31,4,7,5,82
53,37,3,5,3,53
77,35,7,12,1,67
69,26,7,8,1,62
84,27,7,7,1,71
92,32,6,3,1,73
91,36,7,4,2,90
80,37,8,11,1,69
92,39,3,4,4,89
57,35,7,8,4,57
78,30,6,9,1,74
79,38,3,4,5,83
53,32,6,11,5,62
89,27,5,2,2,87
91,39,4,5,2,90
94,24,2,11,1,74
81,25,3,8,2,71
54,26,7,8,4,53
82,29,4,8,3,67
90,25,6,12,3,79
68,36,5,2,2,68
95,40,6,3,1,90
94,29,6,12,2,78
83,26,6,9,2,69
93,38,2,6,2,87
61,38,4,11,5,62
75,37,7,2,5,83
66,39,1,12,3,67
52,27,8,10,5,47
65,24,3,12,2,58
91,38,4,3,1,87
61,28,4,8,5,59
53,29,2,2,5,58
51,28,6,12,3,45
53,26,5,2,5,56
92,33,5,4,4,86
73,38,5,11,2,66
96,31,1,6,4,94
78,27,5,6,4,72
84,34,8,5,5,79
92,39,5,6,4,80
56,29,6,3,2,53
90,29,7,2,2,82
93,32,7,12,3,84
64,28,8,5,2,59
82,37,6,11,2,77
60,24,5,12,2,43
56,35,6,2,5,65
82,37,8,6,3,81
88,29,1,6,2,75
91,26,7,7,3,74
91,30,4,7,5,81
76,31,8,8,3,71
69,37,1,11,2,70
70,27,8,5,3,61
60,29,2,8,1,59
54,29,2,12,3,53
71,26,5,2,3,71
63,30,4,2,5,65
98,34,2,5,2,90
58,32,3,9,3,52
92,26,2,9,4,79
78,26,5,9,5,74
96,24,3,7,3,77
88,37,7,2,5,83
94,26,4,9,3,84
68,40,8,11,1,60
65,30,5,10,2,56
70,29,6,2,4,68
70,34,3,12,3,70
69,29,6,6,2,62
50,26,6,6,4,53
96,39,7,4,5,98
76,33,6,8,5,70
67,30,3,7,1,67
98,40,3,5,3,92
59,31,1,9,5,58
60,31,1,6,5,58
52,25,4,5,4,49
55,31,3,12,3,52
58,28,6,8,1,60
96,28,2,5,5,90
66,33,1,4,1,64
90,31,8,6,5,88
87,31,8,6,3,77
95,39,1,10,3,85
95,25,4,3,1,84
95,32,6,11,4,86
64,39,8,6,1,68
92,30,8,2,4,89
67,40,7,8,2,63
75,36,4,11,1,68
63,35,5,4,3,67
70,39,6,4,3,70
98,34,6,12,3,86
51,24,5,7,4,47
62,34,4,2,1,62
73,34,4,4,3,75
78,25,1,12,4,66
78,31,4,10,5,71
74,25,8,5,4,75
96,31,1,11,5,75
82,36,1,4,2,79
74,33,1,3,1,66
52,35,1,7,3,50
98,31,1,10,1,83
62,24,1,2,1,57
62,31,4,12,4,56
70,36,2,2,4,70
85,30,1,4,4,79
58,39,7,8,4,57
75,26,7,10,1,64
84,39,8,3,5,87
71,35,4,7,5,74
57,40,8,4,4,61
54,29,2,5,3,58
58,40,4,7,3,64
81,26,3,7,5,79
79,28,3,8,4,69
80,40,8,7,4,75
72,32,5,9,1,66
95,40,1,3,1,84
79,24,1,5,1,69
75,27,7,2,5,74
93,37,5,11,2,86
64,34,7,7,4,70
74,32,7,5,4,77
86,39,7,5,2,72
88,40,8,4,3,82
58,30,7,5,4,63
57,31,6,7,2,59
96,34,2,5,4,93
74,34,2,3,3,69
78,35,3,3,2,70
93,37,1,10,5,86
63,37,3,11,2,57
82,39,5,8,5,82
61,24,5,10,1,49
77,27,4,4,1,75
51,29,8,8,4,50
92,28,7,3,5,80
60,34,7,4,4,61
54,34,5,9,2,52
85,36,6,4,5,84
90,24,4,8,5,78
84,38,6,10,1,74
84,33,2,6,5,86
70,40,6,5,5,73
84,28,1,2,5,83
95,35,6,11,1,79
90,37,8,10,2,78
61,34,2,7,4,56
53,38,6,6,5,54
59,25,7,3,4,57
85,34,3,7,2,78
76,32,2,5,5,75
88,32,4,10,4,81
86,30,7,2,5,91
56,29,3,8,1,43
54,32,2,5,3,56
83,28,5,9,3,75
95,34,6,12,3,76
95,28,8,7,1,77
58,34,5,3,1,56
50,29,7,2,2,50
80,30,5,11,2,73
86,40,3,11,3,78
84,29,2,3,5,81
89,39,4,11,2,81
52,29,5,9,1,47
58,31,4,8,1,54
79,31,3,12,1,73
86,34,5,2,3,85
75,40,7,9,2,71
94,34,1,11,1,81
88,30,4,11,1,75
54,32,8,7,4,58
87,30,6,11,5,72
90,37,4,10,5,92
98,30,5,12,5,88
51,30,4,8,2,48
78,38,5,7,5,84
50,35,2,11,1,45
51,25,7,7,4,51
57,30,7,12,5,58
59,25,3,7,5,62
65,28,8,4,1,63
56,29,5,4,3,59
50,38,8,11,5,61
86,26,4,7,2,75
79,38,7,3,2,73
86,37,6,10,5,83
62,40,5,3,4,67
66,25,1,3,4,68
61,35,6,6,1,57
70,39,5,5,4,74
64,33,5,8,1,58
88,37,6,8,2,80
98,27,6,6,5,85
66,29,5,11,2,61
98,35,2,7,4,94
66,29,2,11,4,60
94,40,4,4,4,89
61,25,5,9,2,52
72,37,2,9,4,76
67,38,1,7,3,71
69,35,6,12,2,63
75,29,2,3,2,72
54,24,1,11,1,43
59,33,7,7,2,53
85,25,5,8,4,75
73,27,5,8,5,63
78,32,7,4,5,81
81,31,1,11,4,77
90,36,1,12,5,86
66,34,7,4,3,70
61,28,6,10,5,58
81,27,6,5,1,75
93,27,7,3,4,86
87,38,8,2,2,80
95,30,7,4,1,82
59,33,6,3,3,67
62,30,3,7,5,61
54,36,3,8,5,57
91,38,4,8,2,87
73,40,1,2,3,86
82,40,2,11,5,77
67,40,2,7,2,65
72,35,6,6,1,64
52,31,8,4,2,50
77,33,3,2,5,80
94,34,7,12,4,87
61,24,4,7,4,59
52,26,3,7,2,51
70,31,4,12,4,63
54,37,3,8,2,54
85,29,8,5,4,84
61,34,7,8,4,67
97,39,2,3,2,92
69,39,8,12,5,69
70,38,2,4,5,77
57,26,1,10,4,59
98,25,4,4,2,86
51,26,1,10,1,52
79,33,7,8,1,66
78,27,3,6,2,69
98,32,7,11,3,88
90,25,4,7,1,74
65,28,2,12,1,54
64,37,4,5,3,65
87,26,5,9,5,75
90,36,4,7,5,86
54,25,6,12,3,50
86,24,5,6,5,76
52,29,6,12,1,48
60,35,6,7,5,66
91,37,7,4,1,78
55,25,2,2,2,51
63,31,3,7,4,62
