Previous_Attendance,Timetable,Semester,Holidays,Internal_Exams,Attendance
73.0,34.0,4.0,4.0,3.0,75
52.0,35.0,3.0,5.0,1.0,53
74.0,24.0,6.0,3.0,5.0,68
54.0,33.0,7.0,3.0,2.0,51
66.0,36.0,5.0,4.0,3.0,66
73.0,25.0,3.0,6.0,1.0,64
54.0,26.0,4.0,10.0,2.0,54
74.0,39.0,8.0,3.0,5.0,82
70.0,39.0,5.0,5.0,4.0,74
51.0,35.0,2.0,8.0,3.0,54
93.0,32.0,5.0,5.0,3.0,89
62.0,33.0,4.0,9.0,1.0,56
96.0,38.0,7.0,11.0,2.0,89
64.0,35.0,8.0,5.0,3.0,61
65.0,27.0,7.0,4.0,4.0,61
98.0,31.0,1.0,7.0,1.0,86
83.0,29.0,8.0,12.0,1.0,64
57.0,39.0,4.0,11.0,4.0,59
70.0,31.0,3.0,7.0,1.0,68
58.0,25.0,3.0,2.0,3.0,59
67.0,38.0,1.0,7.0,3.0,71
96.0,25.0,5.0,9.0,4.0,82
75.0,30.0,4.0,7.0,3.0,69
82.0,39.0,5.0,8.0,5.0,82
50.0,28.0,8.0,9.0,2.0,49
82.0,29.0,5.0,3.0,1.0,70
62.0,30.0,1.0,11.0,1.0,53
78.0,40.0,7.0,2.0,1.0,71
64.0,24.0,5.0,5.0,3.0,52
76.0,26.0,5.0,11.0,4.0,68
84.0,29.0,2.0,3.0,5.0,81
72.0,34.0,1.0,6.0,2.0,71
79.0,35.0,5.0,6.0,5.0,82
68.0,39.0,1.0,9.0,3.0,65
73.0,29.0,7.0,2.0,3.0,68
90.0,32.0,2.0,2.0,1.0,80
59.0,38.0,7.0,11.0,4.0,57
73.0,31.0,7.0,8.0,4.0,67
59.0,38.0,8.0,4.0,2.0,60
92.0,26.0,2.0,9.0,4.0,79
68.0,28.0,3.0,6.0,4.0,65
84.0,26.0,2.0,5.0,5.0,87
60.0,31.0,5.0,9.0,1.0,53
54.0,38.0,8.0,10.0,5.0,58
62.0,34.0,6.0,4.0,5.0,71
85.0,31.0,4.0,8.0,4.0,77
54.0,24.0,7.0,3.0,5.0,51
60.0,24.0,5.0,6.0,3.0,48
60.0,26.0,7.0,9.0,3.0,52
94.0,36.0,4.0,3.0,3.0,93
58.0,27.0,4.0,10.0,2.0,48
59.0,39.0,2.0,5.0,2.0,61
95.0,39.0,6.0,10.0,4.0,88
93.0,38.0,2.0,6.0,2.0,87
56.0,29.0,6.0,3.0,2.0,53
53.0,39.0,7.0,4.0,5.0,56
71.0,28.0,8.0,6.0,2.0,65
88.0,33.0,4.0,10.0,4.0,77
91.0,30.0,6.0,10.0,5.0,79
83.0,29.0,5.0,11.0,1.0,70
65.0,29.0,8.0,9.0,1.0,58
65.0,38.0,4.0,5.0,4.0,58
57.0,30.0,1.0,3.0,1.0,53
74.0,30.0,4.0,11.0,1.0,64
72.0,30.0,7.0,9.0,4.0,57
88.0,32.0,4.0,10.0,4.0,81
86.0,35.0,8.0,9.0,2.0,77
61.0,28.0,4.0,8.0,5.0,59
79.0,36.0,2.0,12.0,2.0,73
86.0,35.0,2.0,11.0,1.0,78
74.0,30.0,1.0,12.0,5.0,63
51.0,29.0,8.0,8.0,4.0,50
76.0,28.0,4.0,10.0,3.0,68
50.0,34.0,1.0,4.0,1.0,56
69.0,26.0,7.0,8.0,1.0,62
51.0,29.0,3.0,3.0,2.0,55
54.0,33.0,1.0,12.0,5.0,53
80.0,37.0,1.0,8.0,5.0,80
60.0,37.0,8.0,7.0,2.0,67
80.0,35.0,8.0,2.0,1.0,72
69.0,26.0,8.0,3.0,3.0,65
52.0,26.0,5.0,2.0,3.0,52
85.0,30.0,1.0,4.0,4.0,79
88.0,39.0,6.0,9.0,5.0,89
77.0,25.0,3.0,8.0,5.0,70
70.0,25.0,5.0,5.0,1.0,68
60.0,34.0,5.0,6.0,5.0,57
92.0,31.0,2.0,2.0,1.0,89
59.0,33.0,7.0,7.0,2.0,53
64.0,32.0,5.0,3.0,4.0,69
75.0,40.0,1.0,3.0,5.0,82
61.0,34.0,7.0,2.0,1.0,61
74.0,36.0,5.0,12.0,2.0,62
84.0,38.0,3.0,7.0,5.0,76
87.0,38.0,1.0,7.0,2.0,79
59.0,38.0,8.0,2.0,3.0,70
95.0,34.0,6.0,2.0,3.0,90
52.0,33.0,6.0,10.0,2.0,48
75.0,30.0,7.0,5.0,3.0,64
59.0,33.0,3.0,12.0,1.0,54
52.0,27.0,3.0,3.0,5.0,59
62.0,30.0,6.0,3.0,3.0,64
67.0,27.0,4.0,4.0,4.0,56
55.0,28.0,6.0,7.0,5.0,58
95.0,30.0,7.0,4.0,1.0,82
97.0,37.0,7.0,6.0,1.0,84
87.0,33.0,2.0,2.0,5.0,85
87.0,26.0,5.0,9.0,5.0,75
54.0,36.0,3.0,8.0,5.0,57
66.0,24.0,4.0,6.0,4.0,62
93.0,34.0,3.0,10.0,4.0,89
98.0,28.0,6.0,10.0,4.0,88
92.0,34.0,3.0,3.0,5.0,97
73.0,32.0,6.0,11.0,5.0,58
79.0,28.0,6.0,5.0,2.0,69
87.0,28.0,8.0,11.0,4.0,77
91.0,39.0,4.0,5.0,2.0,90
81.0,26.0,3.0,7.0,5.0,79
53.0,28.0,8.0,3.0,5.0,60
88.0,40.0,8.0,4.0,3.0,82
58.0,35.0,5.0,6.0,5.0,61
60.0,37.0,8.0,9.0,4.0,60
56.0,29.0,6.0,3.0,2.0,56
66.0,30.0,7.0,8.0,4.0,61
70.0,30.0,5.0,8.0,3.0,62
97.0,27.0,1.0,3.0,4.0,87
71.0,29.0,1.0,8.0,3.0,68
89.0,27.0,5.0,2.0,2.0,87
89.0,37.0,3.0,8.0,3.0,85
61.0,32.0,7.0,6.0,2.0,62
66.0,32.0,4.0,5.0,5.0,69
50.0,25.0,2.0,12.0,5.0,47
50.0,34.0,5.0,2.0,2.0,51
56.0,35.0,6.0,2.0,5.0,65
72.0,31.0,3.0,8.0,3.0,64
86.0,37.0,3.0,9.0,2.0,77
78.0,27.0,3.0,6.0,2.0,69
91.0,31.0,6.0,4.0,4.0,81
55.0,27.0,5.0,7.0,2.0,52
61.0,39.0,6.0,10.0,4.0,63
83.0,26.0,2.0,8.0,4.0,72
95.0,39.0,1.0,2.0,1.0,86
80.0,35.0,5.0,4.0,4.0,84
50.0,36.0,6.0,6.0,2.0,53
62.0,27.0,3.0,2.0,5.0,62
83.0,28.0,6.0,9.0,4.0,73
89.0,36.0,4.0,10.0,5.0,84
50.0,27.0,1.0,9.0,4.0,50
65.0,28.0,8.0,4.0,1.0,63
83.0,40.0,6.0,7.0,5.0,84
50.0,31.0,1.0,8.0,3.0,51
74.0,39.0,7.0,12.0,3.0,73
95.0,36.0,1.0,3.0,5.0,94
88.0,33.0,3.0,3.0,2.0,83
60.0,37.0,4.0,3.0,5.0,66
54.0,35.0,8.0,6.0,2.0,51
55.0,34.0,7.0,5.0,4.0,57
76.0,32.0,5.0,3.0,3.0,70
93.0,29.0,5.0,4.0,5.0,89
73.0,25.0,1.0,6.0,5.0,72
85.0,26.0,3.0,7.0,2.0,69
61.0,24.0,3.0,4.0,5.0,59
75.0,27.0,5.0,3.0,1.0,66
68.0,31.0,7.0,4.0,1.0,72
94.0,29.0,3.0,4.0,1.0,80
96.0,28.0,2.0,5.0,5.0,90
91.0,38.0,4.0,4.0,2.0,84
78.0,25.0,1.0,12.0,4.0,66
64.0,36.0,7.0,2.0,2.0,69
55.0,40.0,3.0,11.0,3.0,56
80.0,25.0,8.0,6.0,5.0,73
74.0,28.0,3.0,3.0,1.0,67
75.0,28.0,3.0,8.0,3.0,68
64.0,32.0,3.0,2.0,4.0,71
90.0,30.0,4.0,2.0,5.0,90
88.0,26.0,1.0,8.0,5.0,80
94.0,39.0,5.0,6.0,1.0,89
76.0,36.0,5.0,9.0,2.0,70
76.0,29.0,5.0,11.0,5.0,78
71.0,32.0,2.0,3.0,3.0,73
70.0,31.0,8.0,3.0,4.0,74
67.0,38.0,8.0,11.0,2.0,68
84.0,34.0,8.0,5.0,5.0,79
50.0,32.0,7.0,6.0,2.0,55
70.0,39.0,6.0,4.0,3.0,70
80.0,24.0,6.0,7.0,5.0,77
62.0,33.0,3.0,3.0,1.0,62
68.0,24.0,1.0,10.0,1.0,56
86.0,39.0,4.0,5.0,2.0,79
73.0,27.0,5.0,8.0,5.0,63
57.0,37.0,6.0,2.0,4.0,68
56.0,36.0,1.0,7.0,2.0,57
78.0,24.0,4.0,9.0,5.0,73
90.0,31.0,6.0,5.0,3.0,82
92.0,25.0,1.0,4.0,2.0,79
98.0,40.0,4.0,7.0,1.0,90
84.0,40.0,8.0,10.0,5.0,78
51.0,26.0,2.0,2.0,4.0,54
83.0,30.0,4.0,12.0,3.0,70
64.0,34.0,7.0,2.0,4.0,68
89.0,30.0,6.0,8.0,4.0,86
74.0,39.0,5.0,5.0,3.0,75
84.0,37.0,6.0,9.0,3.0,76
87.0,35.0,6.0,7.0,1.0,74
56.0,39.0,5.0,12.0,4.0,62
61.0,29.0,7.0,8.0,5.0,64
65.0,39.0,1.0,5.0,5.0,68
93.0,29.0,7.0,7.0,2.0,87
89.0,27.0,8.0,9.0,5.0,76
58.0,39.0,2.0,4.0,5.0,63
94.0,29.0,1.0,4.0,2.0,84
84.0,33.0,2.0,6.0,5.0,86
82.0,24.0,6.0,12.0,2.0,67
88.0,29.0,1.0,6.0,2.0,75
94.0,26.0,7.0,4.0,3.0,81
80.0,27.0,2.0,4.0,1.0,73
94.0,39.0,8.0,12.0,4.0,84
75.0,28.0,4.0,9.0,3.0,70
95.0,35.0,4.0,7.0,1.0,86
68.0,30.0,4.0,2.0,5.0,66
95.0,35.0,6.0,11.0,1.0,79
64.0,25.0,6.0,11.0,2.0,56
88.0,31.0,3.0,11.0,4.0,71
78.0,29.0,2.0,3.0,4.0,76
69.0,26.0,5.0,6.0,2.0,61
68.0,25.0,5.0,11.0,2.0,59
67.0,40.0,8.0,3.0,2.0,68
86.0,40.0,3.0,11.0,3.0,78
98.0,38.0,1.0,7.0,2.0,96
53.0,31.0,8.0,6.0,5.0,57
74.0,39.0,4.0,12.0,4.0,73
74.0,39.0,2.0,8.0,2.0,74
76.0,38.0,7.0,10.0,1.0,65
85.0,40.0,4.0,9.0,4.0,83
73.0,38.0,3.0,7.0,4.0,68
84.0,32.0,1.0,11.0,2.0,70
89.0,39.0,7.0,3.0,5.0,86
59.0,30.0,5.0,7.0,5.0,60
52.0,25.0,4.0,5.0,4.0,49
83.0,36.0,6.0,7.0,2.0,78
95.0,36.0,6.0,11.0,5.0,85
93.0,38.0,8.0,5.0,3.0,89
53.0,24.0,2.0,3.0,5.0,61
55.0,37.0,6.0,6.0,5.0,60
91.0,30.0,4.0,7.0,5.0,81
52.0,38.0,7.0,10.0,5.0,55
91.0,31.0,8.0,11.0,5.0,81
95.0,40.0,6.0,3.0,1.0,90
86.0,34.0,5.0,2.0,3.0,85
94.0,34.0,4.0,3.0,4.0,90
94.0,26.0,4.0,9.0,3.0,84
79.0,40.0,3.0,6.0,5.0,88
72.0,30.0,5.0,8.0,5.0,71
60.0,37.0,8.0,9.0,2.0,57
60.0,39.0,3.0,2.0,3.0,64
78.0,34.0,4.0,12.0,1.0,64
66.0,29.0,2.0,11.0,4.0,60
74.0,40.0,3.0,9.0,3.0,75
96.0,31.0,1.0,10.0,4.0,88
83.0,34.0,7.0,3.0,2.0,80
70.0,38.0,8.0,10.0,2.0,66
84.0,36.0,7.0,10.0,1.0,79
80.0,38.0,3.0,12.0,1.0,76
74.0,28.0,5.0,5.0,2.0,66
72.0,31.0,3.0,4.0,4.0,62
77.0,33.0,8.0,8.0,4.0,75
83.0,35.0,3.0,12.0,4.0,78
63.0,28.0,7.0,12.0,2.0,56
84.0,40.0,8.0,12.0,1.0,76
78.0,37.0,5.0,11.0,3.0,68
73.0,33.0,1.0,2.0,1.0,79
58.0,25.0,6.0,7.0,3.0,52
84.0,37.0,1.0,10.0,3.0,78
50.0,40.0,2.0,6.0,4.0,63
63.0,39.0,4.0,11.0,3.0,65
64.0,31.0,5.0,10.0,2.0,60
77.0,39.0,8.0,12.0,2.0,73
64.0,30.0,7.0,3.0,4.0,70
85.0,27.0,3.0,8.0,5.0,79
90.0,30.0,2.0,7.0,4.0,83
56.0,37.0,1.0,4.0,3.0,61
84.0,28.0,4.0,11.0,4.0,77
91.0,37.0,6.0,11.0,3.0,84
91.0,29.0,1.0,8.0,4.0,88
51.0,26.0,7.0,9.0,2.0,44
82.0,36.0,2.0,4.0,2.0,85
72.0,29.0,7.0,11.0,4.0,67
69.0,36.0,5.0,9.0,3.0,66
62.0,31.0,6.0,4.0,3.0,60
90.0,29.0,7.0,2.0,2.0,82
53.0,29.0,4.0,2.0,4.0,57
73.0,36.0,3.0,8.0,1.0,71
79.0,29.0,6.0,5.0,4.0,75
55.0,39.0,6.0,7.0,3.0,56
86.0,26.0,4.0,7.0,2.0,75
90.0,29.0,8.0,4.0,1.0,80
78.0,26.0,5.0,9.0,5.0,74
52.0,29.0,2.0,11.0,1.0,49
94.0,36.0,5.0,12.0,1.0,79
68.0,36.0,5.0,2.0,2.0,68
88.0,29.0,5.0,5.0,1.0,79
56.0,35.0,4.0,4.0,5.0,58
79.0,33.0,3.0,4.0,5.0,73
79.0,35.0,2.0,9.0,2.0,71
74.0,40.0,3.0,4.0,4.0,77
86.0,30.0,7.0,2.0,5.0,91
95.0,32.0,6.0,11.0,4.0,86
65.0,25.0,3.0,12.0,5.0,63
77.0,36.0,2.0,10.0,1.0,67
56.0,39.0,4.0,7.0,4.0,61
78.0,35.0,8.0,11.0,2.0,73
66.0,29.0,6.0,12.0,4.0,60
85.0,35.0,2.0,5.0,4.0,85
79.0,34.0,8.0,4.0,2.0,76
50.0,25.0,8.0,8.0,4.0,44
89.0,28.0,1.0,4.0,4.0,88
76.0,40.0,7.0,7.0,1.0,75
73.0,30.0,3.0,8.0,2.0,59
78.0,31.0,4.0,10.0,5.0,71
58.0,34.0,7.0,8.0,3.0,52
73.0,27.0,8.0,2.0,1.0,68
84.0,39.0,6.0,9.0,1.0,78
61.0,34.0,7.0,11.0,2.0,53
97.0,28.0,6.0,7.0,3.0,85
79.0,39.0,1.0,11.0,3.0,74
98.0,38.0,1.0,3.0,3.0,87
85.0,24.0,6.0,3.0,5.0,82
59.0,39.0,2.0,10.0,4.0,64
54.0,34.0,5.0,8.0,3.0,56
68.0,37.0,5.0,7.0,1.0,61
78.0,40.0,1.0,3.0,5.0,77
79.0,37.0,8.0,4.0,2.0,78
69.0,26.0,3.0,2.0,1.0,66
60.0,38.0,7.0,3.0,5.0,70
67.0,36.0,6.0,8.0,3.0,68
83.0,30.0,3.0,10.0,5.0,77
53.0,26.0,5.0,7.0,3.0,54
77.0,30.0,7.0,12.0,3.0,65
79.0,24.0,1.0,5.0,1.0,69
70.0,28.0,6.0,6.0,5.0,71
67.0,34.0,7.0,2.0,1.0,65
90.0,31.0,8.0,6.0,5.0,88
66.0,33.0,4.0,4.0,5.0,71
94.0,28.0,6.0,5.0,5.0,84
72.0,32.0,2.0,6.0,3.0,69
81.0,32.0,5.0,11.0,2.0,74
80.0,36.0,5.0,4.0,2.0,80
95.0,33.0,6.0,4.0,3.0,85
73.0,24.0,7.0,9.0,4.0,63
51.0,39.0,3.0,4.0,3.0,60
52.0,27.0,8.0,10.0,1.0,45
87.0,37.0,7.0,4.0,4.0,89
56.0,31.0,3.0,5.0,4.0,59
86.0,24.0,3.0,2.0,2.0,78
55.0,33.0,3.0,5.0,4.0,52
94.0,29.0,6.0,12.0,2.0,78
88.0,28.0,6.0,11.0,1.0,70
65.0,38.0,8.0,8.0,1.0,59
73.0,38.0,8.0,6.0,3.0,73
78.0,26.0,4.0,5.0,3.0,76
80.0,31.0,5.0,12.0,2.0,74
88.0,30.0,2.0,12.0,3.0,80
89.0,38.0,4.0,8.0,3.0,84
74.0,25.0,8.0,5.0,4.0,75
91.0,37.0,7.0,4.0,1.0,78
66.0,25.0,1.0,3.0,4.0,68
59.0,40.0,5.0,3.0,5.0,63
71.0,25.0,3.0,2.0,2.0,67
52.0,25.0,1.0,3.0,1.0,48
76.0,26.0,7.0,2.0,4.0,70
90.0,33.0,6.0,5.0,3.0,87
63.0,28.0,8.0,8.0,4.0,59
52.0,31.0,6.0,3.0,1.0,55
97.0,29.0,1.0,6.0,5.0,88
62.0,36.0,2.0,10.0,3.0,63
83.0,30.0,4.0,9.0,5.0,78
62.0,35.0,7.0,4.0,4.0,67
60.0,33.0,8.0,10.0,3.0,58
76.0,28.0,6.0,7.0,3.0,66
69.0,26.0,8.0,4.0,1.0,63
56.0,37.0,1.0,4.0,2.0,63
60.0,39.0,6.0,6.0,5.0,64
81.0,25.0,3.0,8.0,2.0,71
98.0,40.0,3.0,5.0,3.0,92
76.0,38.0,7.0,9.0,4.0,76
51.0,24.0,7.0,2.0,2.0,50
57.0,31.0,4.0,6.0,2.0,57
54.0,34.0,1.0,6.0,5.0,61
58.0,40.0,4.0,5.0,4.0,68
62.0,32.0,6.0,2.0,1.0,62
71.0,38.0,1.0,8.0,5.0,71
90.0,33.0,8.0,12.0,5.0,82
97.0,35.0,8.0,9.0,2.0,89
61.0,27.0,3.0,7.0,5.0,63
63.0,31.0,3.0,7.0,4.0,62
68.0,29.0,3.0,6.0,3.0,62
61.0,37.0,2.0,6.0,2.0,70
94.0,37.0,3.0,4.0,4.0,88
81.0,31.0,1.0,11.0,4.0,77
52.0,35.0,1.0,7.0,3.0,50
74.0,32.0,4.0,9.0,2.0,75
57.0,40.0,2.0,5.0,2.0,60
86.0,37.0,4.0,11.0,3.0,73
57.0,35.0,7.0,8.0,4.0,57
76.0,36.0,2.0,6.0,4.0,72
91.0,38.0,4.0,8.0,2.0,87
66.0,25.0,2.0,12.0,2.0,61
82.0,34.0,6.0,11.0,2.0,75
98.0,31.0,1.0,5.0,2.0,87
77.0,29.0,5.0,9.0,5.0,70
60.0,34.0,2.0,11.0,4.0,62
54.0,35.0,6.0,7.0,1.0,52
53.0,38.0,8.0,2.0,1.0,56
69.0,25.0,6.0,11.0,2.0,54
66.0,25.0,7.0,3.0,5.0,66
89.0,27.0,4.0,4.0,2.0,84
69.0,30.0,6.0,6.0,1.0,63
83.0,28.0,5.0,9.0,3.0,75
66.0,29.0,7.0,5.0,4.0,63
79.0,35.0,3.0,5.0,5.0,76
55.0,27.0,7.0,12.0,3.0,50
90.0,31.0,4.0,7.0,5.0,82
70.0,36.0,4.0,9.0,1.0,68
78.0,37.0,2.0,2.0,1.0,74
71.0,29.0,7.0,4.0,5.0,66
95.0,37.0,1.0,2.0,5.0,100
61.0,37.0,4.0,6.0,4.0,61
90.0,30.0,5.0,12.0,5.0,77
59.0,24.0,5.0,11.0,5.0,51
73.0,26.0,7.0,4.0,1.0,63
97.0,25.0,4.0,2.0,3.0,91
58.0,24.0,7.0,12.0,3.0,54
66.0,27.0,6.0,4.0,2.0,59
98.0,33.0,7.0,10.0,2.0,80
50.0,33.0,4.0,3.0,4.0,60
71.0,27.0,7.0,3.0,2.0,63
64.0,32.0,4.0,7.0,3.0,65
79.0,37.0,3.0,5.0,2.0,80
61.0,28.0,1.0,9.0,4.0,56
70.0,31.0,4.0,3.0,5.0,63
80.0,34.0,1.0,12.0,3.0,71
82.0,35.0,4.0,7.0,2.0,66
62.0,39.0,6.0,2.0,5.0,64
62.0,24.0,1.0,2.0,1.0,57
57.0,33.0,3.0,6.0,3.0,64
97.0,40.0,6.0,6.0,1.0,90
80.0,35.0,8.0,7.0,5.0,81
56.0,24.0,1.0,7.0,5.0,51
57.0,27.0,7.0,11.0,3.0,52
65.0,33.0,6.0,8.0,4.0,63
55.0,30.0,2.0,10.0,4.0,59
98.0,24.0,1.0,2.0,4.0,91
74.0,39.0,4.0,12.0,5.0,69
70.0,36.0,2.0,2.0,4.0,70
75.0,29.0,1.0,9.0,3.0,67
83.0,34.0,6.0,2.0,1.0,78
51.0,29.0,6.0,5.0,3.0,54
82.0,37.0,6.0,11.0,2.0,77
62.0,34.0,4.0,2.0,1.0,62
87.0,24.0,8.0,12.0,4.0,73
72.0,36.0,6.0,10.0,2.0,63
97.0,37.0,8.0,6.0,5.0,93
77.0,37.0,5.0,9.0,2.0,74
79.0,35.0,3.0,8.0,3.0,70
57.0,33.0,7.0,8.0,4.0,52
97.0,24.0,2.0,4.0,1.0,81
81.0,39.0,1.0,9.0,3.0,77
73.0,33.0,3.0,6.0,4.0,67
82.0,36.0,2.0,3.0,3.0,75
50.0,37.0,3.0,5.0,4.0,52
57.0,30.0,3.0,3.0,5.0,56
51.0,27.0,8.0,2.0,4.0,53
74.0,35.0,3.0,8.0,5.0,75
58.0,38.0,4.0,6.0,2.0,59
89.0,32.0,3.0,9.0,4.0,79
91.0,34.0,4.0,3.0,3.0,87
54.0,38.0,4.0,7.0,5.0,55
59.0,37.0,5.0,4.0,3.0,62
59.0,38.0,1.0,6.0,1.0,62
61.0,24.0,4.0,7.0,4.0,59
66.0,28.0,4.0,5.0,4.0,68
74.0,29.0,8.0,11.0,2.0,65
88.0,35.0,1.0,4.0,4.0,84
98.0,24.0,1.0,4.0,5.0,88
62.0,30.0,3.0,12.0,5.0,58
61.0,36.0,5.0,11.0,5.0,58
50.0,35.0,1.0,2.0,5.0,56
62.0,33.0,7.0,2.0,4.0,70
